feature_name,feature_label_ko,feature_group,feature_group_ko,source_table,missing_all,missing_30d,missing_60d,missing_train,missing_valid,missing_test,constant_rate,baseline_candidate_by_missing
kma_asos_weather_daily__avg_temp_c,KMA 전국 ASOS 기상 평균기온(°C),weather_kma,기상/KMA,raw.kma_asos_weather_daily,0.0,0.0,0.0,0.0,0.0,0.0,0.03564727954971857,True
kma_asos_weather_daily__avg_wind_speed_mps,KMA 전국 ASOS 기상 평균 풍속(m/s),weather_kma,기상/KMA,raw.kma_asos_weather_daily,0.0,0.0,0.0,0.0,0.0,0.0,0.037054409005628515,True
kma_asos_weather_daily__cdd18,KMA 전국 ASOS 기상 냉방도일 CDD18,weather_kma,기상/KMA,raw.kma_asos_weather_daily,0.0,0.0,0.0,0.0,0.0,0.0,0.5060975609756098,True
kma_asos_weather_daily__hdd18,KMA 전국 ASOS 기상 난방도일 HDD18,weather_kma,기상/KMA,raw.kma_asos_weather_daily,0.0,0.0,0.0,0.0,0.0,0.0,0.3827392120075047,True
kma_asos_weather_daily__is_precip_day,KMA 전국 ASOS 기상 강수일 여부,weather_kma,기상/KMA,raw.kma_asos_weather_daily,0.0,0.0,0.0,0.0,0.0,0.0,0.4699812382739212,True
kma_asos_weather_daily__max_temp_c,KMA 전국 ASOS 기상 최고기온(°C),weather_kma,기상/KMA,raw.kma_asos_weather_daily,0.0,0.0,0.0,0.0,0.0,0.0,0.03564727954971857,True
kma_asos_weather_daily__min_temp_c,KMA 전국 ASOS 기상 최저기온(°C),weather_kma,기상/KMA,raw.kma_asos_weather_daily,0.0,0.0,0.0,0.0,0.0,0.0,0.03564727954971857,True
kma_asos_weather_daily__precip_mm,KMA 전국 ASOS 기상 강수량(mm),weather_kma,기상/KMA,raw.kma_asos_weather_daily,0.0,0.0,0.0,0.0,0.0,0.0,0.4699812382739212,True
kma_asos_weather_daily__solar_radiation_mj_m2,KMA 전국 ASOS 기상 일사량(MJ/m²),weather_kma,기상/KMA,raw.kma_asos_weather_daily,0.0,0.0,0.0,0.0,0.0,0.0,0.03564727954971857,True
kma_asos_weather_daily__station_count,KMA 전국 ASOS 기상 관측소 수,weather_kma,기상/KMA,raw.kma_asos_weather_daily,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False
kma_asos_weather_daily__sunshine_hours,KMA 전국 ASOS 기상 일조시간,weather_kma,기상/KMA,raw.kma_asos_weather_daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0375234521575985,True
kma_asos_weather_station_daily__avg_relative_humidity_pct,KMA 관측소 ASOS 기상 평균 상대습도(%),weather_kma,기상/KMA,raw.kma_asos_weather_station_daily,0.0,0.0,0.0,0.0,0.0,0.0,0.03564727954971857,True
